comm,min_name,op_id,op_name,source,state,status,type
Construction Sand and Gravel,Mike Duhon Dirt Pit,1601381,LA,M,COX PIT,Abandoned,Surface
Construction Sand and Gravel,Moss Dirt Company,1601134,LA,M,Cook Pit,Abandoned,Surface
Construction Sand and Gravel,Moss Dirt Company,1601165,LA,M,Moss Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Muckler Fill Dirt & Top Soil,3901042,SD,M,Hoffman Pit,Abandoned,Surface
Construction Sand and Gravel,Nelson & Sons Dirt Haulers Inc,1601194,LA,M,Nelson & Sons Dirt Haulers Incorporated,Abandoned,Surface
Construction Sand and Gravel,Nelson'S Dirt Pit,4104054,TX,M,NELSON'S DIRT PIT,Abandoned,Surface
Construction Sand and Gravel,Nicholson Dirt Contracting,4801674,WY,M,Eagle One,Abandoned,Surface
Construction Sand and Gravel,Nitty Gritty Dirt LLC,2402474,MT,M,Rolling Glen Ranch Sand and Gravel,Abandoned,Surface
Construction Sand and Gravel,Northest Louisiana Dirt Contractors,1600920,LA,M,Calhoun And Mcguire Pit,Abandoned,Surface
"Crushed, Broken Limestone NEC",Orvil Carter Dirt Contractor Inc,4102955,TX,M,Ed Meek Pit,Abandoned,Surface
"Crushed, Broken Limestone NEC",Orvil Carter Dirt Contractor Inc,4103107,TX,M,Seitz Pit,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc,1512530,KY,C,No 1 Surface,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc,1515619,KY,C,No 5 Surface,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc,1518318,KY,C,Biggs No 1,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc,4405366,VA,C,No 1 Strip,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc,4407196,VA,C,No 2,Abandoned,Surface
Coal (Bituminous),P B Dirt Movers Inc.,1519685,KY,C,Fedscreek Refuse Pile,Abandoned,Surface
Coal (Bituminous),"P B Dirt Movers, Inc",1519799,KY,C,Fedscreek Surface,Active,Surface
Coal (Bituminous),P.B. Dirtmovers,4407003,VA,C,No 2,Abandoned*,Underground
Construction Sand and Gravel,PAPA'S DIRT WORKES,2602570,NV,M,COUNTY FAIRE TEMP GRAVEL PIT,Abandoned,Surface
Construction Sand and Gravel,Paydirt Exc Inc,2402503,MT,M,Robison Mine,Abandoned,Surface
Coal (Bituminous),PB Dirt Movers,4407296,VA,C,Mine No. 6,Temporarily Idled,Underground
Coal (Bituminous),PB Dirt Movers Inc.,1519273,KY,C,Blair Face Up,Abandoned,Surface
Coal (Bituminous),"PB Dirt Movers, Inc",4407270,VA,C,Surface Mine No. 1,NonProducing,Surface
Construction Sand and Gravel,Peveto Dirt Pit,4102682,TX,M,Peveto Pit,Abandoned,Surface
Construction Sand and Gravel,"Phil-Dirt Industries, Inc",0801259,FL,M,PIT #1,Abandoned,Surface
Construction Sand and Gravel,"Prescott Dirt, LLC",0203332,AZ,M,Sandretto Drive,Intermittent,Surface
"Crushed, Broken Limestone NEC",R & R Dirtworks,0302015,AR,M,Martins Quarry,Abandoned,Surface
Construction Sand and Gravel,R D Blankenship Dirt Work LLC,2901986,NM,M,R D BLANKENSHIP DIRT WORK,Active,Surface
Construction Sand and Gravel,Reeves Dirt Pit Inc,1601127,LA,M,Reeves Dirt Pit Incorporated,Abandoned,Surface
"Sand, Common",River Bottom Dirt,4105017,TX,M,River Bottom Dirt,Abandoned,Surface
Construction Sand and Gravel,Roe'S Dirt Pit,1600986,LA,M,Roe'S Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Russell Trest-Dirt Contractor,4103324,TX,M,Pine Ridge Pit,Abandoned,Surface
Construction Sand and Gravel,S J Stahr Dirt Movers Inc,4202013,UT,M,Stahr Portable Crusher,Abandoned,Surface
"Sand, Common","Sand and Dirt, Inc.",0801371,FL,M,CENTURY PIT,Abandoned,Surface
Construction Sand and Gravel,"Sierra Rock & Dirt, Inc.",2402115,MT,M,Sierra Rock & Dirt Inc,Abandoned,Surface
Construction Sand and Gravel,Simpson Dirtworx llc,4300748,VT,M,Simpson Sand and Gravel,Abandoned,Surface
Construction Sand and Gravel,SIMPSON DIRTWORX LLC,4300768,VT,M,Pettibone Jaw Crusher,Intermittent,Surface
Construction Sand and Gravel,SIMPSON DIRTWORX LLC,4300776,VT,M,Chieftan 1400,Intermittent,Surface
Construction Sand and Gravel,Slay'S Dirt Hauling,0103209,AL,M,SLAY PIT,Abandoned,Surface
Construction Sand and Gravel,Southside Dirt Company,1601159,LA,M,Southside Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,"Spry's Dirt & Gravel, Inc.",2302283,MO,M,Mike's Money Pit,Intermittent,Surface
Construction Sand and Gravel,Stewart Dirt Pit,4102586,TX,M,Stewart Pit,Abandoned,Surface
"Crushed, Broken Stone NEC","Stewart Dirt Work, Inc.",4104475,TX,M,Stewart Dirt Work Inc - Hanna Pit,Abandoned,Surface
Construction Sand and Gravel,Sweat'S Dirt Hauling Inc,3800617,SC,M,Highway 642 Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,Toler Roe Dirt Pit,1601234,LA,M,Toler Roe Dirt Pit,Abandoned,Surface
Construction Sand and Gravel,"Tres Palacios Dirt, Sand & Gravel",4104648,TX,M,La Calichera Pit,Abandoned,Surface
Construction Sand and Gravel,Vogt Dirt Service,2103518,MN,M,Crusher,Intermittent,Surface
Construction Sand and Gravel,Watson Dirt Sand & Gravel Pit Inc,1601292,LA,M,ADDISON LEASE,Abandoned,Surface
Construction Sand and Gravel,Y B Dirt & Loam,4103429,TX,M,Y B Mine,Abandoned,Surface
