FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201701,31,0,33106,678073,"I","01/31/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201701
201701,9,0,33142,674066,"D","01/09/2017 00:00:00",81,"F","Outside/Open Areas",201701
201701,9,0,33143,674066,"D","01/09/2017 00:00:00",,"M","Outside/Open Areas",201701
201701,2,0,33145,669799,"D","01/02/2017 00:00:00",78,"M","In Water",201701
201701,9,0,33146,676840,"D","01/09/2017 00:00:00",85,"M","Outside/Open Areas",201701
201701,9,0,33175,682566,"I","01/09/2017 00:00:00",21,"M","Vehicle/Towed Trailer",201701
201703,2,0,33007,672916,"I","03/02/2017 00:00:00",39,"M","Vehicle/Towed Trailer",201703
201703,1,0,33003,673138,"I","03/01/2017 00:00:00",85,"F","Vehicle/Towed Trailer",201703
201703,2,0,33006,673144,"I","03/02/2017 00:00:00",29,"M","Vehicle/Towed Trailer",201703
201703,2,0,33016,674022,"I","03/02/2017 00:00:00",19,"F","Vehicle/Towed Trailer",201703
201703,8,0,33197,674068,"D","03/08/2017 00:00:00",20,"M","Vehicle/Towed Trailer",201703
201703,8,0,33198,674068,"D","03/08/2017 00:00:00",23,"F","Vehicle/Towed Trailer",201703
201703,17,0,33033,675656,"I","03/17/2017 00:00:00",,"","Outside/Open Areas",201703
201703,17,0,33034,675656,"I","03/17/2017 00:00:00",,"","Outside/Open Areas",201703
201703,17,0,33035,675656,"I","03/17/2017 00:00:00",,"","Outside/Open Areas",201703
201703,14,0,33070,675802,"I","03/14/2017 00:00:00",83,"F","Permanent Home",201703
201703,14,0,33071,675802,"I","03/14/2017 00:00:00",,"M","Permanent Home",201703
201703,14,0,33072,675802,"I","03/14/2017 00:00:00",,"M","Permanent Home",201703
201703,27,0,33096,677764,"I","03/27/2017 00:00:00",59,"M","Vehicle/Towed Trailer",201703
201703,25,0,33116,678307,"D","03/25/2017 00:00:00",14,"F","In Water",201703
201703,9,0,33216,678350,"I","03/09/2017 00:00:00",45,"M","Vehicle/Towed Trailer",201703
201703,31,0,33121,678385,"D","03/31/2017 00:00:00",2,"F","In Water",201703
201703,18,0,33151,681250,"D","03/18/2017 00:00:00",29,"F","In Water",201703
201703,13,0,33161,681632,"I","03/13/2017 00:00:00",69,"M","Outside/Open Areas",201703
201703,13,0,33157,681638,"I","03/13/2017 00:00:00",68,"M","Outside/Open Areas",201703
201703,13,0,33158,681638,"I","03/13/2017 00:00:00",78,"M","Outside/Open Areas",201703
201703,13,0,33159,681638,"I","03/13/2017 00:00:00",76,"M","Outside/Open Areas",201703
201703,13,0,33160,681638,"I","03/13/2017 00:00:00",64,"M","Outside/Open Areas",201703
201703,6,0,33176,682635,"I","03/06/2017 00:00:00",48,"M","Outside/Open Areas",201703
201703,30,0,33181,682838,"D","03/30/2017 00:00:00",37,"M","In Water",201703
201703,10,0,33182,683056,"D","03/10/2017 00:00:00",58,"F","Vehicle/Towed Trailer",201703
201703,6,0,33209,683771,"I","03/06/2017 00:00:00",61,"F","Outside/Open Areas",201703
201703,3,0,33211,685126,"D","03/03/2017 00:00:00",80,"M","Outside/Open Areas",201703
201703,5,0,33200,685298,"D","03/05/2017 00:00:00",20,"F","Outside/Open Areas",201703
201703,29,0,33201,685973,"I","03/29/2017 00:00:00",12,"M","Outside/Open Areas",201703
201703,29,0,33202,685973,"I","03/29/2017 00:00:00",11,"M","Outside/Open Areas",201703
201703,6,0,33203,687307,"D","03/06/2017 00:00:00",,"","Outside/Open Areas",201703
201703,6,0,33204,687309,"D","03/06/2017 00:00:00",,"","Outside/Open Areas",201703
201703,6,0,33205,687309,"D","03/06/2017 00:00:00",,"","Outside/Open Areas",201703
201703,6,0,33206,687309,"D","03/06/2017 00:00:00",,"","Outside/Open Areas",201703
201703,28,0,33207,687594,"D","03/28/2017 00:00:00",69,"M","Vehicle/Towed Trailer",201703
201703,3,0,33212,688613,"I","03/03/2017 00:00:00",,"","Vehicle/Towed Trailer",201703
201703,10,0,33215,688788,"I","03/10/2017 00:00:00",17,"F","Under Tree",201703
201703,7,0,33219,689229,"I","03/07/2017 00:00:00",57,"M","Outside/Open Areas",201703
201703,2,0,33222,690043,"D","03/02/2017 00:00:00",50,"M","Under Tree",201703
201703,21,0,33226,690095,"D","03/21/2017 00:00:00",29,"M","Permanent Home",201703
201703,22,0,33224,690389,"D","03/22/2017 00:00:00",,"M","Under Tree",201703
